year,half_year,Publisher,count,alpha,ci_lower,ci_upper
2021,H1,MAGNOLIA PRESS,35,0.0,0.0,0.4515631857436251
2021,H1,MARTINUS NIJHOFF PUBL,12,0.0,0.0,0.4185034965465636
2021,H1,MANAGED CARE & HEALTHCARE COMMUNICATIONS LLC,28,0.37396679081919143,0.1074955980220553,0.7476482576759711
2021,H1,"MASARYKOVA UNIV, FAC SOCIAL STUDIES",19,0.061654413312271304,0.0018118798221335843,0.7040022876593959
2021,H1,MASSON EDITEUR,28,0.0,0.0,0.29978554114397343
2021,H1,MATHEMATICAL RESEARCH PRESS-MATH RES,20,0.0,0.0,0.5649896935078834
2021,H1,MATHEMATICAL SCIENCE PUBL,27,0.0,0.0,0.4731033143652278
2021,H1,"JMIR PUBLICATIONS, INC",1264,0.06146056178375086,0.04392934472104248,0.08536342385934824
2021,H1,MASSACHUSETTS MEDICAL SOC,346,0.0405299969673777,0.012348513142077964,0.12489361738360778
2021,H1,AMER CHEMICAL SOC,20216,0.02919109344764087,0.025599073035861127,0.0332699308654121
2021,H1,"MARY ANN LIEBERT, INC",919,0.06136327905204888,0.04125518652948154,0.09034861402386073
2021,H1,KEAI PUBLISHING LTD,1704,0.03473120414795456,0.023438822530239815,0.05117892222214779
2021,H1,MEDICAL LIBRARY ASSOC,25,0.0,0.0,0.4160950536735459
2021,H1,MICH LAW REV ASSOC,39,0.0,0.0,0.3545716323642603
2021,H1,MICROTOME PUBL,11,0.0,0.0,0.66892003159506
